;Unidade Acadêmica;Departamento;NomedoLaboratorio;Responsável(is);Site;Observações;Campus da UFC;Localização;Empresa Privada Parceira
198;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Refrigeração de Alimentos;Prof. Marcos Rodrigues Amorim Afonso;https://engenhariadealimentos.ufc.br/sobre-o-curso/infraestrutura/;Objetivo: Apoiar as atividades didáticas do curso de Engenharia de Alimentos relacionadas a refrigeração dos alimentos.;Pici;858;-
199;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Biotecnologia;Profª. Sueli Rodrigues;???;Objetivo: Apoiar as atividades didáticas do curso de Engenharia de Alimentos relacionadas à área de biotecnologia de alimentos.;Pici;858;-
200;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Nutrição Funcional (LANUF);Socorro Vanesca Frota Gaban;???;Apoiar as atividades didáticas do curso de Engenharia de Alimentos relacionadas às disciplinas de Nutrição Básica e Funcional e Alimentos para Fins Especiais.;Pici;?;-
201;Centro de Ciências Agrárias (CCA);Engenharia de Alimentos;Laboratório de Análise Sensorial;Maria do Carmo Passos Rodrigues;???;Apoiar as atividades didáticas do curso de Engenharia de Alimentos relacionadas a analise sensorial. Equipamentos existentes: cabines individuais e cozinha dietética especial, processador, fogão convencional, freezer horizontal, geladeira.;Pici;?;-
202;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;"Estação de Aquicultura ""Prof. Dr. Raimundo Saraiva Costa""";Oscar Pacheco Passos Neto;https://cca.ufc.br/laboratorios-e-nucleos-do-cca/departamento-de-engenharia-de-pesca-dep-3/;"Linhas de pesquisa: Reprodução da tilápia do Nilo (Oreochromis niloticus) com coleta de ovos e incubação artificial; Engorda da tilápia do Nilo (O. niloticus); Sistema Aquapônico - integração da criação de organismos aquáticos com cultivo de hortaliças; Sistema de recirculação de água - elaboração de projeto, montagem e manutenção; Tecnologias ligadas à intensificação da criação de organismos aquáticos - incorporação de oxigênio dissolvido da água; Expectativa de início de trabalhos com engorda do camarão branco do pacífico (Litopenaeus vannamei); Monitoramento e correção dos parâmetros básicos de qualidade de água.";Pici;841 (Em frente ao açude Santo Anastácio);-
203;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Centro de Biotecnologia em Aquicultura (CEBIAQUA);José Renato de Oliveira César;https://engenhariadepesca.ufc.br/sobre-o-curso-de-engenharia-de-pesca/infraestrutura/;"O primeiro andar conta com uma sala de aula climatizada com capacidade para 25 estudantes, laboratório com bancadas para experimentos, alojamento climatizado para estudantes com quatro beliches, copa, cozinha, sala de quarentena com bancadas, área com iluminação natural para experimentos e sala do gerador.
No andar superior, são quatro gabinetes climatizados para professores, uma sala climatizada para reunião e estudo, laboratório de genética (DNA e RNA), laboratório de bioinformática, laboratório de produção de alimentos vivos, com cepário de microalgas, equipado com lupas, microscópios, BOD para manutenção das cepas, agitador de frascos, cilindro de CO2 e equipamentos e infraestrutura para o cultivo de microalgas, microcrustáceos e macroalgas marinhas e estudo do plâncton.";Pici;872;-
204;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;"Laboratório de Processamento de Pescado e Tecnologia do Pescado
(LATEPE)";Bartolomeu Warlene Silva;???;Sendo utilizados para a determinação de parâmetros de frescor do pescado e composição centesimal e para aulas práticas de Processamento de Pescado.;Pici;???;-
205;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Biologia e Tecnologia Pesqueira;Reynaldo Amorim Marinho;???;Área medindo 80 m² e dotado de bancadas, balanças semianalítica e digital, paquímetros, microscópios, lupas para determinação de conteúdo estomacal e caracteres morfométricos, merísticos e fisiológicos de vertebrados aquáticos.;Pici;???;-
206;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Tecnologia de Rações;Francisca Gleire Rodrigues de Menezes;https://cca.ufc.br/laboratorios-e-nucleos-do-cca/departamento-de-engenharia-de-pesca-dep-3/;Espaço com 30m2 e está equipado como digestor e destilador de Kjeldahl, extrator para lipídios, forno mufla, destilador de água, freezer, moinho elétrico, estufa, autoclave vertical, destilador de água, banho-maria, vidrarias e reagentes.;Pici;???;-
207;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Espectrometria de Massa e Análise Proteômica (LEMAP);Celso Shiniti Nagano;https://engenhariadepesca.ufc.br/sobre-o-curso-de-engenharia-de-pesca/infraestrutura/;Este laboratório possui aproximadamente 25 m2 e está equipado com um espectrômetro de massa com dois sistemas de ionização (MALDI/ESI), analisador IMS-o-TOF-MS,sistema de separação por cromatografia líquida bidimensional de alta resolução em nano-fluxo, computadores destinados ao processamento de dados, fonte e cuba de eletroforese vertical, concentrador a vácuo, sequenciador de proteínas de Edman, balança analítica, gerador de nitrogênio, centrífuga de bancada, geladeira e demais equipamentos necessários para preparação de amostras.;Pici;???;-
208;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Biotecnologia de Recursos Naturais;Alexandre Holanda Sampaio;https://engenhariadepesca.ufc.br/sobre-o-curso-de-engenharia-de-pesca/infraestrutura/;Entre os equipamentos instalados podem-se destacar: digestor de proteínas com 1.152 reatores, seqüenciador de peptídeos, plataformas de cromatografia líquida de ultra performance, robô de ensaios de cristalização em nano escala, mesas agitadoras orbitais com temperatura controlada, nano espectrofotômetro, sistema de eletroforese bidimensional, liofilizador industrial, termocicladores de RT-PCR, centrífuga de grande escala e espectro polarímetro (dicroísmo circular).;Pici;???;-
209;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Microbiologia de Alimentos;Francisca Gleire Rodrigues de Menezes;???;Situado no Labomar, medindo 80 m², utilizado para análises microbiológicas de água e do pescado, com autoclaves, estufas incubadoras, microscópios.;Pici;???;-
210;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Aquicultura e Sistema Integrado de Produção (LASIP);Elenise Gonçalves Oliveira;???;???;Pici;???;-
211;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório  de Produtos Naturais Marinhos (PROMAR);Silvana Saker Sampaio;https://cca.ufc.br/laboratorios-e-nucleos-do-cca/departamento-de-engenharia-de-pesca-dep-3/;Isolamento, purificação e caracterização de lectinas e polissacarídeos sulfatados. Detecção e quantificação de carotenóides, pró-vitamina A e aminas biogênicas em algas marinhas, utilizando cromatografia líquida de alta eficiência (HPLC);Pici;827;-
212;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Ciência e Tecnologia Aquícola (LCTA);Marcelo Vinícius do Carmo e Sá;https://engenhariadepesca.ufc.br/sobre-o-curso-de-engenharia-de-pesca/infraestrutura/;Análises físicas, químicas e biológicas de amostras d’água coletadas em lagoas, açudes e viveiros de criação de peixes e camarões.;Pici;827;-
213;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Biologia Pesqueira;Aldeney Andrade Soares Filho;https://cca.ufc.br/laboratorios-e-nucleos-do-cca/departamento-de-engenharia-de-pesca-dep-3/;?;Pici;827;-
214;Centro de Ciências Agrárias (CCA);Engenharia de Pesca;Laboratório de Genética e Biotecnologia Aplicada à Aquicultura (GENAGUA);José Renato de Oliveira César;?;?;Pici;872;-
